Name ,Address ,Latitude,Longtitude,Type ,Latest Inspection Date,Type,Critical_Violation,Non_Critical_Violation,Total
   PIZZA HAUS , 207 W BROADWAY ASHLAND 65010,38.774887,-92.264047,  RESTAURANT ,    12-31-2015 ,    ROUTINE ,0,1,1
   PIZZA HUT , 600 E HWY 22 HWY CENTRALIA 65240,39.21846,-92.132418,  RESTAURANT ,    12-2-2015 ,    ROUTINE ,1,0,1
   PIZZA HUT- BUSINESS LOOP  , 111 E  BUSINESS LOOP 70 COLUMBIA 65203,38.965085,-92.335452,  RESTAURANT ,    6-10-2015 ,    ROUTINE ,0,2,2
   PIZZA HUT- CLARK LANE  , 3307   CLARK COLUMBIA 65202,38.964351,-92.287904,  RESTAURANT ,    10-14-2015 ,    ROUTINE ,0,2,2
   PIZZA HUT - NIFONG , 715 E  NIFONG COLUMBIA 65201,38.910147,-92.330143,  RESTAURANT ,    10-8-2015 ,    ROUTINE ,1,3,4
   PIZZA HUT - WORLEY , 2000 W  WORLEY COLUMBIA 65203,38.960764,-92.369363,  RESTAURANT ,    9-21-2015 ,    ROUTINE ,0,2,2
   PIZZA HUT/WING STREET , 200 S HENRY CLAY BLVD ASHLAND 65010,38.772934,-92.258276,  RESTAURANT ,    10-1-2015 ,    ROUTINE ,0,0,0
   PIZZA TREE , 909 CHERRY ST. COLUMBIA 65201,38.950628,-92.327119,  RESTAURANT ,    3-21-2016 ,    ROUTINE ,1,2,3
   PLUME , 165 E. HOE DOWN DR. UNIT B COLUMBIA 65203,38.885333,-92.343049,  RESTAURANT ,    10-30-2015 ,    ROUTINE ,0,0,0
   POPPY S PLACE , 595 S RT B COLUMBIA 65202,39.018432,-92.273907,  RESTAURANT ,    1-26-2016 ,    ROUTINE ,0,0,0
   PROVISION LIVING COLUMBIA LLC , 2333 CHAPEL HILL COLUMBIA 65203,38.932371,-92.373998,  RESTAURANT ,    10-7-2015 ,    ROUTINE ,0,0,0
   QUALITY INN RESTAURANT , 1612 N  PROVIDENCE COLUMBIA 65202,38.970395,-92.332079,  RESTAURANT ,    2-16-2016 ,    ROUTINE ,1,2,3
   QUICK STOP , 204 W HIGHWAY 22 COLUMBIA 65202,39.218635,-92.137338,  RESTAURANT ,    1-22-2015 ,    ROUTINE ,0,0,0
   QUINTONS , 124 S   NINTH COLUMBIA 65201,38.94966,-92.327318,  RESTAURANT ,    10-29-2015 ,    ROUTINE ,0,0,0
   RANGE FREE , 110 ORR ST. STE. 101 COLUMBIA 65201,38.95346,-92.324749,  RESTAURANT ,    2-19-2016 ,    ROUTINE ,0,0,0
   RED BRIC COFFEE & CAFE , 303 N  KEENE COLUMBIA 65201,38.954748,-92.290865,  RESTAURANT ,    11-20-2015 ,    ROUTINE ,0,0,0
   RED LOBSTER , 1716   I-70 DRIVE SOUTHWEST COLUMBIA 65203,38.965421,-92.364943,  RESTAURANT ,    12-23-2015 ,    ROUTINE ,0,2,2
   RED ROOF INN , 206 E  TEXAS COLUMBIA 65202,38.969697,-92.334865,  RESTAURANT ,    6-3-2015 ,    ROUTINE ,0,0,0
   RESIDENCE INN , 1100   WOODLAND SPRINGS COLUMBIA 65202,38.96225,-92.284011,  RESTAURANT ,    2-12-2016 ,    ROUTINE ,1,0,1
   RIO GRANDE , 3306   BROADWAY BUSINESS PARK COLUMBIA 65203,38.954301,-92.387182,  RESTAURANT ,    3-2-2016 ,    ROUTINE ,2,2,4
   ROCHEPORT GENERAL STORE , 202 CENTRAL ROCHEPORT 65279,38.979266,-92.566668,  RESTAURANT ,    6-26-2015 ,    ROUTINE ,1,0,1
   ROOM 38 , 38 N  EIGHTH COLUMBIA 65201,38.952474,-92.328267,  RESTAURANT ,    12-30-2015 ,    ROUTINE ,2,3,5
   ROOTEN TOOTEN BAR-B-QUE , 1205 N  GARTH COLUMBIA 65203,38.964291,-92.338634,  RESTAURANT ,    4-23-2015 ,    ROUTINE ,2,2,4
   ROSCOE'S , 105 S ALLEN ST CENTRALIA 65240,39.211435,-92.139398,  RESTAURANT ,    12-2-2015 ,    ROUTINE ,0,0,0
   ROSE MUSIC HALL , 1013 Park Columbia 65201,38.954741,-92.325624,  RESTAURANT ,    2-24-2016 ,    ROUTINE ,1,2,3
   ROUND TABLE , 937 E HIGHWAY 22 CENTRALIA 65240,39.217318,-92.128159,  RESTAURANT ,    12-21-2015 ,    ROUTINE ,3,2,5
   RUBY TUESDAY , 2010   BERNADETTE COLUMBIA 65203,38.964646,-92.370727,  RESTAURANT ,    2-22-2016 ,    ROUTINE ,1,2,3
   RUBY TUESDAY , 3310   VANDIVER COLUMBIA 65202,38.973698,-92.288688,  RESTAURANT ,    3-18-2016 ,    ROUTINE ,1,4,5
   SAIGON BISTRO , 912 E  BROADWAY COLUMBIA 65201,38.951507,-92.326982,  RESTAURANT ,    8-27-2015 ,    FOLLOW UP ,0,1,1
   SAKE JAPANESE BISTRO , 16 S  TENTH COLUMBIA 65201,38.950893,-92.326228,  RESTAURANT ,    6-24-2015 ,    ROUTINE ,0,2,2
   SENZA , 4500   KIRKDALE COLUMBIA 65203,38.903954,-92.36259,  RESTAURANT ,    2-4-2016 ,    ROUTINE ,0,0,0
   SEOUL TACO/STRANGE DONUTS , 1020 E. BROADWAY COLUMBIA 65201,38.951228,-92.325654,  RESTAURANT ,    3-22-2016 ,    ROUTINE ,1,0,1
   SHAKESPEARE'S PIZZA , 225 S  NINTH COLUMBIA 65201,38.948673,-92.327923,  RESTAURANT ,    2-1-2016 ,    ROUTINE ,1,0,1
   SHAKESPEARE'S PIZZA , 3304   BROADWAY BUSINESS PARK COLUMBIA 65203,38.953552,-92.386371,  RESTAURANT ,    1-12-2016 ,    ROUTINE ,3,0,3
   SHAKESPEARE'S PIZZA , 3100 FALLING LEAF STE. 100 COLUMBIA 65201,38.914483,-92.296891,  RESTAURANT ,    6-1-2015 ,    ROUTINE ,0,0,0
   SHAKESPEARE'S PIZZA , 3911   PEACHTREE COLUMBIA 65203,38.907259,-92.337713,  RESTAURANT ,    1-13-2016 ,    ROUTINE ,1,0,1
   SHELTER INSURANCE , 1817 W  BROADWAY COLUMBIA 65203,38.956508,-92.367618,  RESTAURANT ,    3-18-2016 ,    ROUTINE ,1,0,1
   SHILOH BAR AND GRILL , 402 E  BROADWAY COLUMBIA 65201,38.951259,-92.332594,  RESTAURANT ,    3-25-2016 ,    ROUTINE ,1,0,1
   SHORTWAVE COFFEE , 915   A COLUMBIA 65201,38.950982,-92.326898,  RESTAURANT ,    9-1-2015 ,    ROUTINE ,1,0,1
   SHOTGUN PETE'S BBQ , 21 N  NINTH COLUMBIA 65201,38.952301,-92.327836,  RESTAURANT ,    12-29-2015 ,    ROUTINE ,0,0,0
   SKYLINE CAFE , 11300 S AIRPORT DR COLUMBIA 65202,38.818128,-92.219578,  RESTAURANT ,    3-4-2015 ,    ROUTINE ,0,0,0
   SKYLINE CAFE ON BROADWAY , 105 E. BROADWAY ASHLAND 65010,38.775021,-92.26179,  RESTAURANT ,    12-15-2015 ,    FOLLOW UP ,0,0,0
  SLATER PLACE, 3801 Miller Dr Columbia 65201,38.906963,-92.289059,  RESTAURANT ,    4-6-2016 ,    ROUTINE ,1,0,1
   SMOKEHOUSE BBQ , 401 N  STADIUM COLUMBIA 65203,38.959638,-92.373748,  RESTAURANT ,    11-10-2015 ,    ROUTINE ,1,2,3
   SMOKIN CHICKS BBQ , 3301 W  BROADWAY COLUMBIA 65203,38.955901,-92.3859,  RESTAURANT ,    3-14-2016 ,    ROUTINE ,0,2,2
   SMOOTHIE KING , 808 E. NIFONG BLVD. STE. G COLUMBIA 65201,38.910121,-92.333929,  RESTAURANT ,    4-14-2016 ,    ROUTINE ,1,0,1
   SOCIAL ROOM , 220 N. 8TH ST. COLUMBIA 65201,38.954308,-92.328118,  RESTAURANT ,    12-17-2015 ,    ROUTINE ,0,0,0
   SONIC , 701E NIFONG COLUMBIA 65201,38.910215,-92.330869,  RESTAURANT ,    3-27-2015 ,    ROUTINE ,0,0,0
   SONIC , 200   BRICKTON COLUMBIA 65201,38.947553,-92.295584,  RESTAURANT ,    5-2-2016 ,    ROUTINE ,0,2,2
   SONIC , 2210   PARIS COLUMBIA 65202,38.971181,-92.303794,  RESTAURANT ,    10-23-2015 ,    ROUTINE ,1,0,1
   SONIC , 701 E   NIFONG                    COLUMBIA 65201,38.910215,-92.330869,  RESTAURANT ,    4-5-2016 ,    ROUTINE ,1,3,4
   SONIC , 304 W HWY 22 CENTRALIA 65240,39.218594,-92.138589,  RESTAURANT ,    11-24-2015 ,    ROUTINE ,1,3,4
   SONIC , 3700   RANGE LINE COLUMBIA 65202,38.987769,-92.32437,  RESTAURANT ,    10-20-2015 ,    ROUTINE ,1,4,5
   SONIC , 5700   ST CHARLES COLUMBIA 65202,38.962749,-92.250677,  RESTAURANT ,    4-26-2016 ,    ROUTINE ,1,1,2
   SOPHIA'S , 3915 S  PROVIDENCE COLUMBIA 65203,38.906999,-92.336141,  RESTAURANT ,    12-29-2015 ,    ROUTINE ,3,3,6
   SOUTHSIDE PIZZA , 3911 PEACHTREE DR. COLUMBIA 65203,38.907259,-92.337713,  RESTAURANT ,    12-28-2015 ,    FOLLOW UP ,0,0,0
   SPORTS  ZONE/PICADILLY'S , 2200   I-70 DRIVE SOUTHWEST COLUMBIA 65203,38.967164,-92.373546,  RESTAURANT ,    2-4-2016 ,    ROUTINE ,4,3,7
   STADIUM GRILL , 1219 FELLOWS PL COLUMBIA 65201,38.934535,-92.324814,  RESTAURANT ,    12-15-2015 ,    ROUTINE ,0,3,3
   STARBUCKS , 605 E. NIFONG COLUMBIA 65203,38.907845,-92.348068,  RESTAURANT ,    3-31-2016 ,    ROUTINE ,0,0,0
   STARBUCKS COFFEE , 3100 W  BROADWAY COLUMBIA 65203,38.953299,-92.383659,  RESTAURANT ,    4-18-2016 ,    ROUTINE ,0,0,0
   STARBUCKS COFFEE , 304 S  NINTH COLUMBIA 65201,38.948246,-92.327341,  RESTAURANT ,    3-30-2016 ,    ROUTINE ,1,0,1
   STARBUCKS COFFEE , 2500   BROADWAY BLUFFS COLUMBIA 65201,38.947463,-92.301134,  RESTAURANT ,    12-8-2015 ,    ROUTINE ,0,1,1
   STARBUCKS COFFEE , 2901 W  BROADWAY COLUMBIA 65203,38.955477,-92.381396,  RESTAURANT ,    4-18-2016 ,    ROUTINE ,0,0,0
   STARBUCKS-TARGET , 2400 BERNADETTE DR. COLUMBIA 65203,38.964259,-92.377716,  RESTAURANT ,    4-20-2016 ,    ROUTINE ,0,0,0
   STAY BRIDGE , 805 N  KEENE COLUMBIA 65201,38.958791,-92.291118,  RESTAURANT ,    12-17-2015 ,    ROUTINE ,0,0,0
STEAK N SHAKE , 3004   CLARK COLUMBIA 65202,38.963097,-92.292996,  RESTAURANT ,    2-8-2016 ,    ROUTINE ,4,2,6
   STEAK N SHAKE , 1912 W  WORLEY COLUMBIA 65203,38.960639,-92.368431,  RESTAURANT ,    3-15-2016 ,    ROUTINE ,1,5,6
   SRITFRY 88 , 2300 Bernadette #708 Columbia 65203,38.963839,-92.375518,  RESTAURANT ,    7-14-2015 ,    ROUTINE ,1,1,2
   STRAIGHT GRAIN STUDIO , 1610 PARIS RD. COLUMBIA 65201,38.960103,-92.315481,  RESTAURANT ,    3-3-2016 ,    ROUTINE ,0,0,0
   SUB SHOP , 212 E  GREEN MEADOWS COLUMBIA 65203,38.915846,-92.336534,  RESTAURANT ,    1-25-2016 ,    ROUTINE ,1,0,1
   SUB SHOP , 209 S  EIGHTH COLUMBIA 65201,38.94923,-92.329361,  RESTAURANT ,    2-1-2016 ,    ROUTINE ,1,0,1
   SUB SHOP , 2105 W  WORLEY COLUMBIA 65203,38.961522,-92.372311,  RESTAURANT ,    1-12-2016 ,    ROUTINE ,2,0,2
   SUB SHOP , 601 W  BUSINESS LOOP 70 COLUMBIA 65203,38.967365,-92.345423,  RESTAURANT ,    11-9-2015 ,    ROUTINE ,3,3,6
   SUBWAY , 511 E Broadway Ashland 65010,38.774672,-92.254688,  RESTAURANT ,    1-29-2016 ,    ROUTINE ,1,4,5
   SUBWAY , 503 E  NIFONG COLUMBIA 65201,38.911751,-92.332502,  RESTAURANT ,    2-23-2016 ,    ROUTINE ,0,2,2
   SUBWAY , 2716   PARIS COLUMBIA 65202,38.97877,-92.294525,  RESTAURANT ,    1-29-2016 ,    ROUTINE ,0,0,0
   SUBWAY , 5612 E  ST CHARLES COLUMBIA 65202,38.960922,-92.252003,  RESTAURANT ,    1-28-2016 ,    ROUTINE ,1,0,1
   SUBWAY , 2101 W  BROADWAY COLUMBIA 65203,38.954523,-92.372131,  RESTAURANT ,    1-19-2016 ,    ROUTINE ,0,1,1
   SUBWAY , 607 E  BUSINESS LOOP 70 COLUMBIA 65201,38.964369,-92.3295,  RESTAURANT ,    3-3-2016 ,    ROUTINE ,0,1,1
   SUBWAY , 2300 BERNADETTE #712 COLUMBIA 65203,38.963839,-92.375518,  RESTAURANT ,    1-27-2016 ,    ROUTINE ,0,0,0
   SUBWAY , 1201 GRINDSTONE PKWY COLUMBIA 65202,38.912858,-92.324366,  RESTAURANT ,    11-13-2014 ,    ROUTINE ,0,2,2
   SUBWAY , 5612 E  ST CHARLES COLUMBIA 65202,38.960922,-92.252003,  RESTAURANT ,    11-6-2014 ,    ROUTINE ,0,2,2
   SUBWAY , 27   CONLEY COLUMBIA 65201,38.950574,-92.296173,  RESTAURANT ,    1-6-2016 ,    ROUTINE ,0,1,1
   SUBWAY , 3001 W  BROADWAY COLUMBIA 65203,38.957115,-92.382617,  RESTAURANT ,    3-18-2016 ,    ROUTINE ,1,1,2
   SUBWAY , 1201   GRINDSTONE COLUMBIA 65201,38.912858,-92.324366,  RESTAURANT ,    3-14-2016 ,    ROUTINE ,0,1,1
   SUBWAY , 1239 HIGHWAY 22 CENTRALIA 65240,39.213451,-92.123837,  RESTAURANT ,    10-28-2015 ,    ROUTINE ,0,0,0
   SUBWAY , 27   CONLEY COLUMBIA 65201,38.950574,-92.296173,  RESTAURANT ,    1-28-2016 ,    OPENING ,0,0,0
   SUBWAY , 308 S  NINTH COLUMBIA 65201,38.947727,-92.327166,  RESTAURANT ,    3-17-2016 ,    ROUTINE ,2,2,4
   SUBWAY (LOWE'S) , 201   CONLEY COLUMBIA 65201,38.953113,-92.296821,  RESTAURANT ,    10-8-2015 ,    ROUTINE ,1,0,1
   SUBWAY/BASKIN ROBBINS , 30 S  NINTH COLUMBIA 65201,38.950601,-92.327321,  RESTAURANT ,    3-21-2016 ,    ROUTINE ,1,0,1
   SUBWAY/BASKIN ROBBINS , 1406   FORUM COLUMBIA 65203,38.937016,-92.359823,  RESTAURANT ,    1-15-2016 ,    FOLLOW UP ,0,0,0
   SYCAMORE , 800 E  BROADWAY COLUMBIA 65201,38.951226,-92.328468,  RESTAURANT ,    11-24-2015 ,    ROUTINE ,0,0,0
   TACO BELL , 3301   CLARK COLUMBIA 65202,38.964223,-92.288933,  RESTAURANT ,    2-25-2016 ,    COMPLAINT ,0,1,1
   TACO BELL , 508 E  NIFONG COLUMBIA 65201,38.909492,-92.331944,  RESTAURANT ,    2-24-2016 ,    COMPLAINT ,0,0,0
   TACO BELL , 2009   BERNADETTE COLUMBIA 65203,38.965908,-92.370392,  RESTAURANT ,    3-2-2016 ,    ROUTINE ,0,1,1
   TACO BELL , 2220 E  BUSINESS LOOP 70 COLUMBIA 65203,38.963775,-92.304955,  RESTAURANT ,    1-19-2016 ,    ROUTINE ,1,1,2
   TACO BELL , 1100   SMILEY COLUMBIA 65202,38.992753,-92.323203,  RESTAURANT ,    3-3-2016 ,    ROUTINE ,1,3,4
   TACO BELL , 411 S  PROVIDENCE COLUMBIA 65203,38.946767,-92.334771,  RESTAURANT ,    2-29-2016 ,    ROUTINE ,0,1,1
   TACO BELL , 1421   CINNAMON HILL COLUMBIA 65201,38.933174,-92.290812,  RESTAURANT ,    1-28-2016 ,    ROUTINE ,0,1,1
   TACO BELL MALL , 2300 BERNADETTE #716 COLUMBIA 65203,38.963839,-92.375518,  RESTAURANT ,    1-27-2016 ,    ROUTINE ,0,0,0
   TAJ MAHAL , 500 E  WALNUT COLUMBIA 65201,38.952417,-92.33128,  RESTAURANT ,    3-11-2016 ,    ROUTINE ,4,8,12
   TELLERS , 820 E  BROADWAY COLUMBIA 65201,38.951293,-92.327715,  RESTAURANT ,    4-1-2016 ,    FOLLOW UP ,0,0,0
   TEPPANYAKI GRILL & SUPREM , 908   I-70 DRIVE SOUTHWEST COLUMBIA 65203,38.965678,-92.351324,  RESTAURANT ,    5-2-2016 ,    ROUTINE ,0,0,0
   TERRACE RETIREMENT APTS , 1408 W  BUSINESS LOOP 70 COLUMBIA 65202,38.967162,-92.359693,  RESTAURANT ,    3-30-2016 ,    ROUTINE ,2,1,3
   TEX RED SOLO CUP , 890 E HWY 22 CENTRALIA 65240,39.217852,-92.129025,  RESTAURANT ,    11-12-2015 ,    ROUTINE ,0,0,0
   TEXAS ROADHOUSE , 2005 W  WORLEY COLUMBIA 65203,38.961553,-92.370454,  RESTAURANT ,    3-31-2016 ,    ROUTINE ,4,2,6
   TGI FRIDAYS , 3030   I-70 DRIVE SOUTHEAST COLUMBIA 65201,38.960557,-92.291272,  RESTAURANT ,    3-30-2016 ,    ROUTINE ,2,1,3
   THAI EXPRESS , 308 S  NINTH COLUMBIA 65201,38.947727,-92.327166,  RESTAURANT ,    4-29-2016 ,    ROUTINE ,1,2,3
   THE 5TH DOWN BAR AND GRIL , 912   RAIN FOREST COLUMBIA 65202,38.988522,-92.325312,  RESTAURANT ,    11-12-2015 ,    ROUTINE ,0,1,1
   THE BROIL , 4603 JOHN GARRY COLUMBIA 65203,38.899387,-92.341498,  RESTAURANT ,    12-11-2015 ,    ROUTINE ,0,0,0
   THE DEUCE , 3700   MONTEREY COLUMBIA 65203,38.911053,-92.338102,  RESTAURANT ,    3-28-2016 ,    ROUTINE ,0,0,0
   THE LINKS , 5000   CLARK COLUMBIA 65202,38.962075,-92.261087,  RESTAURANT ,    2-1-2016 ,    ROUTINE ,0,0,0
   THE ONE KTV ,212 7A Green Meadows Columbia 65203,38.916602,-92.341239,  RESTAURANT ,    1-26-2016 ,    FOLLOW UP ,0,0,0
   THE WINE CELLAR & BISTRO , 505   CHERRY COLUMBIA 65201,38.95074,-92.331255,  RESTAURANT ,    3-22-2016 ,    ROUTINE ,1,1,2
   THE WOLF S HEAD TAVERN , 201 N. 10TH ST. COLUMBIA 65201,38.953742,-92.326583,  RESTAURANT ,    4-13-2016 ,    ROUTINE ,1,0,1
   THIP THAI CUISINE , 904 E  BROADWAY COLUMBIA 65201,38.951226,-92.327243,  RESTAURANT ,    3-22-2016 ,    ROUTINE ,4,2,6
   TONY'S PIZZA , 17 N  FIFTH COLUMBIA 65201,38.952504,-92.33206,  RESTAURANT ,    3-8-2016 ,    ROUTINE ,0,2,2
   TOWN & COUNTRY LANES , 1508 N  PROVIDENCE COLUMBIA 65203,38.967403,-92.332823,  RESTAURANT ,    4-1-2016 ,    ROUTINE ,2,2,4
   TRAILSIDE CAFE , 700 FIRST ST ROCHEPORT 65279,38.978057,-92.561357,  RESTAURANT ,    12-4-2015 ,    ROUTINE ,0,0,0
   TREY BISTRO , 21 N NINTH STREET COLUMBIA 65201,38.952301,-92.327836,  RESTAURANT ,    2-11-2015 ,    ROUTINE ,1,1,2
   TRUMAN'S BAR & GRILL , 3304   BROADWAY BUSINESS PARK COLUMBIA 65203,38.953552,-92.386371,  RESTAURANT ,    2-18-2016 ,    ROUTINE ,1,1,2
   TURNERS MERCANTILE AND CA , 35 E MAIN STREET HARTSBURG 65039,38.695568,-92.30993,  RESTAURANT ,    10-16-2014 ,    ROUTINE ,2,1,3
   UMBRIA RUSTIC ITALIAN , 904   ELM COLUMBIA 65201,38.948211,-92.326908,  RESTAURANT ,    3-17-2016 ,    ROUTINE ,4,4,8
   UPPER CRUST BAKERY , 3107   GREEN MEADOWS COLUMBIA 65203,38.917191,-92.337316,  RESTAURANT ,    3-18-2016 ,    ROUTINE ,3,1,4
   UPRISE BAKERY , 10   HITT COLUMBIA 65201,38.950718,-92.325209,  RESTAURANT ,    4-6-2016 ,    ROUTINE ,2,4,6
   VELVET CUPCAKE CAFE , 28 N EIGHTH ST RM 510 COLUMBIA 65201,38.952407,-92.328281,  RESTAURANT ,    2-17-2016 ,    ROUTINE ,0,0,0
   VFW POST 280 , 1509 ASHLEY ST COLUMBIA 65201,38.967697,-92.316553,  RESTAURANT ,    4-27-2016 ,    ROUTINE ,1,0,1
   VIDA COFFEE , 812   HITT COLUMBIA 65201,38.941167,-92.324925,  RESTAURANT ,    11-3-2015 ,    ROUTINE ,0,0,0
   VILLA ITALIAN KITCHEN , 2300 BERNADETTE DR SUITE 720 COLUMBIA 65202,38.963839,-92.375518,  RESTAURANT ,    12-21-2015 ,    ROUTINE ,2,1,3
   WAFFLE HOUSE , 904   VANDIVER COLUMBIA 65202,38.970637,-92.326148,  RESTAURANT ,    4-13-2016 ,    ROUTINE ,3,0,3
   WAFFLE HOUSE , 2701 S  PROVIDENCE COLUMBIA 65203,38.920401,-92.336442,  RESTAURANT ,    3-21-2016 ,    COMPLAINT ,1,0,1
   WENDYS , 3110   CLARK COLUMBIA 65202,38.963287,-92.290819,  RESTAURANT ,    1-15-2016 ,    ROUTINE ,0,2,2
   WENDYS , 2116   BERNADETTE COLUMBIA 65203,38.96496,-92.371786,  RESTAURANT ,    1-7-2016 ,    ROUTINE ,0,1,1
   WENDYS , 403 E. NIFONG COLUMBIA 65203,38.907523,-92.344822,  RESTAURANT ,    1-19-2016 ,    ROUTINE ,1,1,2
   WHICH WICH SUPERIOR SANDW , 304 S NINTH ST STE 102 COLUMBIA 65201,38.948246,-92.327341,  RESTAURANT ,    7-7-2015 ,    ROUTINE ,2,2,4
   WHITE CASTLE , 3401 CLARK LN COLUMBIA 65202,38.964329,-92.286847,  RESTAURANT ,    1-11-2016 ,    ROUTINE ,2,2,4
   WILLIE'S , 1109 E  BROADWAY COLUMBIA 65201,38.951784,-92.324931,  RESTAURANT ,    3-24-2016 ,    ROUTINE ,1,1,2
   WINGIN OUT , 916 E. BROADWAY COLUMBIA 65201,38.951199,-92.326834,  RESTAURANT ,    4-29-2016 ,    ROUTINE ,1,1,2
   WISEGUYS , 7 N  SIXTH COLUMBIA 65201,38.952059,-92.331025,  RESTAURANT ,    3-30-2016 ,    ROUTINE ,3,1,4
   WOODY'S PUB & GRUB , 605 DOUGLAS ASHLAND 65010,38.76776,-92.253457,  RESTAURANT ,    12-22-2015 ,    ROUTINE ,1,1,2
   YE OLDE LADY & PUB , 21 CONLEY RD. STE. U COLUMBIA 65201,38.949044,-92.296386,  RESTAURANT ,    4-7-2016 ,    ROUTINE ,1,1,2
   YING YANG , 128 E. NIFONG STE. E COLUMBIA 65203,38.909171,-92.336736,  RESTAURANT ,    6-29-2015 ,    ROUTINE ,0,0,0
   YOGO LUV , 201 S  NINTH COLUMBIA 65201,38.949368,-92.327888,  RESTAURANT ,    6-19-2015 ,    ROUTINE ,1,1,2
   YOUNG S SUSHI  (HY-VEE) , 3100 W  BROADWAY COLUMBIA 65203,38.953299,-92.383659,  RESTAURANT ,    10-13-2014 ,    ROUTINE ,1,0,1
   ZAXBY'S , 3922 S  PROVIDENCE COLUMBIA 65201,38.907852,-92.33479,  RESTAURANT ,    3-22-2016 ,    ROUTINE ,0,0,0
   ZAXBY'S , 1411 CINNAMON HILL LN COLUMBIA 65201,38.933898,-92.292399,  RESTAURANT ,    3-22-2016 ,    ROUTINE ,1,1,2
